time,mx,my,mz
4.336955198E1,-2.598876953E1,-4.502410889E1,1.293029785E1
4.337959227E1,-2.538757324E1,-4.487457275E1,1.307983398E1
4.338957152E1,-2.598876953E1,-4.577484131E1,1.188049316E1
4.339958128E1,-2.538757324E1,-4.592437744E1,1.203002930E1
4.340959105E1,-2.433776855E1,-4.412384033E1,1.053009033E1
4.341963133E1,-2.553863525E1,-4.577484131E1,1.218109131E1
4.342958006E1,-2.538757324E1,-4.442443848E1,1.233062744E1
4.343958983E1,-2.688751221E1,-4.562377930E1,1.203002930E1
4.344929442E1,-2.793731689E1,-4.592437744E1,1.157989502E1
4.345927366E1,-2.523803711E1,-4.427337646E1,9.930419922E0
4.346925291E1,-2.598876953E1,-4.502410889E1,1.038055420E1
4.347923216E1,-2.553863525E1,-4.322357178E1,1.143035889E1
4.348921141E1,-2.628784180E1,-4.607391357E1,1.068115234E1
4.349919066E1,-2.688751221E1,-4.412384033E1,1.023101807E1
4.350916990E1,-2.643737793E1,-4.562377930E1,1.128082275E1
4.351914915E1,-2.598876953E1,-4.547424316E1,8.880615234E0
